OID_,Field1,Longitude,Latitude,Kriging_Predicted_Gradient
139,48,-106.650568699999994,32.400131199999997,220.7920685
140,49,-108.318935400000001,35.174655100000003,22.8269939
141,50,-107.217295500000006,34.033386999999998,51.8973274
142,51,-108.853626899999995,31.943833300000001,51.8262520
143,52,-107.348994899999994,33.395802099999997,46.7860603
144,53,-106.938887699999995,34.050087900000001,105.1710358
145,54,-107.983926400000001,35.250055199999998,22.0295086
146,55,-108.780646800000000,34.950057700000002,32.3184700
147,56,-107.680606999999995,33.796790500000000,76.6186905
148,57,-108.690644000000006,34.920058800000000,31.6931763
149,58,-107.548894500000003,32.500124399999997,69.9927444
150,59,-106.650565400000005,31.866845800000000,89.6017380
151,60,-107.683907899999994,33.913387600000000,80.6839447
152,61,-106.967288400000001,34.033388199999997,87.0708771
153,62,-108.670639400000013,34.400070900000003,34.3300705
154,63,-106.933887400000003,34.016788800000000,87.0432358
155,64,-106.932287700000003,34.073387400000001,115.4984512
156,65,-107.733509299999994,33.908087500000001,79.0030975
157,66,-106.711879499999995,33.795395200000002,70.1426239
158,67,-106.860070899999997,31.804046600000000,70.6846466
159,68,-107.520593700000006,32.501824499999998,69.4913940
160,69,-106.672566599999996,31.958143100000001,74.6184464
161,70,-107.419997100000003,33.433900800000004,49.9423866
162,71,-107.692308699999998,33.986785800000000,83.5243225
163,72,-107.409095100000002,33.174307399999996,51.9755936
164,73,-108.300617799999998,32.850111499999997,45.9339905
165,74,-106.817270699999995,31.966842300000000,63.0833626
166,75,-108.838628200000002,32.199926300000001,278.1102600
167,76,-106.600567700000013,32.450130100000003,164.7884064
168,77,-106.607379699999996,34.251984700000001,51.9693451
169,78,-107.995707400000001,32.571220300000000,58.3318901
170,79,-107.022181099999997,32.705721400000002,71.7825470
171,80,-108.000607099999996,32.500122200000000,58.2884979
172,81,-108.861136599999995,33.294897100000000,53.1063538
173,82,-107.667296899999997,32.366827399999998,69.0827866
174,83,-107.915705200000005,32.580420500000002,63.3862457
175,84,-108.933628999999996,31.938932999999999,53.2201157
176,85,-108.093606899999997,32.091232900000001,48.3151054
177,86,-107.500593100000003,32.500124599999999,68.9100494
178,87,-106.568376200000003,33.901893200000004,61.8755302
179,88,-108.500614200000001,31.500147599999998,51.6799355
