Latitude,Longitude,Timestamp,Magnitude
34.5,-106.92,4/12/1974 18:14,2.5
35.933,-106.15,4/20/1974 20:43,1.4
36.75,-105.783,4/30/1974 2:47,1.9
34.88333333,-106.2666667,5/4/1974 8:52,1.3
35.75,-106.417,5/25/1974 20:09,1.4
36.267,-106.667,6/5/1974 18:18,1.8
36.717,-105.883,6/20/1974 17:31,1.6
35.0475,-106.6961667,6/22/1974 9:53,2.6
35.299,-107.764,7/11/1974 11:26,2.7
33.1105,-104.1938333,7/31/1974 17:34,2.1
30.1775,-105.7193333,8/17/1974 7:35,2.1
34.46666667,-105.8521667,8/26/1974 7:33,2.6
34.88066667,-107.0705,8/30/1974 22:57,3.1
32.648,-106.5251667,9/26/1974 23:44,3.3
32.79283333,-108.6273333,9/29/1974 13:13,3.6
32.9805,-108.7643333,9/29/1974 14:26,2.5
31.87433333,-100.8623333,10/2/1974 2:40,2.5
32.80583333,-108.6185,10/11/1974 11:07,2.5
33.83333333,-106.5833333,10/15/1974 9:36,1.9
33.83333333,-106.5833333,10/15/1974 10:05,2
33.9,-106.5,10/15/1974 10:07,2.4
33.893,-106.734,10/15/1974 10:59,1.3
35.25216667,-107.1368333,10/15/1974 12:47,2.7
35.212,-106.6333333,10/18/1974 4:30,2.4
30.6325,-104.8298333,10/27/1974 16:18,2
33.91666667,-106.65,11/1/1974 9:29,1.3
33.91666667,-106.65,11/1/1974 10:42,1.3
33.8,-106.6,11/1/1974 10:45,2.2
33.91666667,-106.65,11/1/1974 11:25,1.4
33.91666667,-106.65,11/1/1974 12:11,1.3
31.74283333,-106.745,11/1/1974 15:06,2.2
36.15,-106.9,11/5/1974 19:33,1.4
32.13866667,-102.6681667,11/12/1974 2:35,1.9
32.49483333,-106.3731667,11/21/1974 16:22,2.1
32.07283333,-102.7496667,11/21/1974 18:59,2.2
32.93966667,-101.2598333,11/22/1974 8:53,2.2
33.78116667,-105.2076667,11/22/1974 14:11,1.7
32.57533333,-103.9441667,11/28/1974 3:35,4
34.95983333,-105.608,12/28/1974 23:24,2.2
35.367,-107.1,12/29/1974 1:11,1.8
35.017,-106.7,12/30/1974 12:11,1.6
35.266,-105.281,1/3/1975 12:33,1.8
31.20183333,-106.7073333,1/16/1975 4:34,3.3
30.94883333,-103.0785,1/30/1975 16:00,2.1
31.63816667,-106.8985,2/2/1975 1:59,2
35.05316667,-103.1876667,2/2/1975 20:39,3
36.183,-106.233,2/9/1975 9:12,2.1
36.233,-106.217,2/10/1975 0:28,1.4
34.424,-107.297,2/24/1975 4:03,1.7
34.406,-107.241,2/24/1975 4:17,1.3
34.5,-106.9,3/4/1975 7:16,2.1
34.55,-107.12,3/5/1975 3:48,3
34.55,-107.14,3/6/1975 7:56,3
34.55,-107.14,3/7/1975 3:16,3.5
34.513,-107.11,3/7/1975 7:11,2.2
34.622,-107.257,3/7/1975 16:36,1.6
34.55,-107.16,3/7/1975 17:36,3.8
34.511,-107.034,3/7/1975 18:33,2.3
36.567,-106.917,3/13/1975 11:01,1.8
32.18466667,-101.6856667,4/8/1975 15:29,1.9
34.33416667,-107.0673333,4/16/1975 13:52,2
36.33883333,-104.6501667,5/16/1975 7:26,2.6
36.746,-106.662,5/21/1975 4:46,2.1
36.02933333,-103.4655,6/21/1975 5:41,2.8
34.19,-106.93,6/27/1975 1:39,2.8
34.2,-106.9,6/28/1975 7:20,2.7
34.36666667,-106.8666667,7/2/1975 2:34,1.5
34.56666667,-106.7333333,7/20/1975 7:44,1.8
29.82183333,-102.623,7/25/1975 8:11,2.6
30.4875,-104.5973333,8/1/1975 7:27,3.6
30.71416667,-104.4531667,8/3/1975 3:26,1.9
35.217,-106.45,9/4/1975 6:25,1.6
36.187,-106.175,9/6/1975 3:46,2.4
36.201,-106.261,9/7/1975 0:24,1.4
36.237,-106.242,9/7/1975 13:43,1.5
36.733,-105.667,9/10/1975 1:01,2.1
35.96916667,-106.7978333,9/29/1975 11:09,2.8
36.037,-106.862,9/29/1975 11:17,1.7
36.046,-106.85,9/29/1975 13:17,2.1
34.123,-106.905,10/3/1975 5:43,1.8
34.63333333,-107.5333333,10/10/1975 7:12,1.6
33.35616667,-105.0191667,10/10/1975 11:16,1.8
34.1,-106.63,10/31/1975 4:02,1.8
35.437,-108.7413333,11/4/1975 13:54,1.5
33.95966667,-106.789,11/5/1975 2:40,1.8
32.7435,-108.3636667,12/3/1975 10:12,3.8
35.798,-106.176,12/3/1975 13:41,2.6
31.60666667,-102.3068333,12/12/1975 14:24,3
35.87816667,-108.5343333,1/5/1976 6:23,4.7
31.78583333,-102.7551667,1/10/1976 1:49,2.1
34.08683333,-106.7948333,1/14/1976 7:01,2.4
30.98216667,-102.3233333,1/15/1976 20:43,2.1
31.90616667,-103.0578333,1/19/1976 4:03,3.3
30.95166667,-102.2931667,1/21/1976 23:11,2
31.94983333,-103.0256667,1/22/1976 7:21,2
36.422,-106.546,1/22/1976 20:12,1.4
31.94166667,-103.0056667,1/25/1976 4:48,3.8
31.991,-100.8891667,1/28/1976 7:37,1.9
32.6465,-108.5151667,1/29/1976 8:04,1.5
34.51016667,-109.9383333,1/30/1976 8:45,1.7
31.67816667,-103.5291667,2/4/1976 16:15,1.6
31.63383333,-102.467,2/14/1976 5:35,1.6
31.657,-102.2486667,3/5/1976 2:58,3.2
29.64883333,-104.2171667,3/9/1976 6:49,3.9
29.7595,-104.7015,3/12/1976 12:39,3
32.50483333,-102.584,3/15/1976 2:30,1.7
32.3295,-102.959,3/18/1976 23:07,1.7
31.2735,-104.9376667,3/20/1976 12:42,1.7
32.21716667,-103.0596667,3/20/1976 16:15,1.8
32.2225,-103.0678333,3/27/1976 22:25,2
36.68133333,-102.7113333,3/30/1976 9:27,2.5
33.85983333,-105.9716667,4/1/1976 14:40,1.6
33.93833333,-105.9256667,4/1/1976 14:46,2.7
33.91216667,-105.925,4/1/1976 14:51,2.1
31.24266667,-103.1011667,4/3/1976 20:40,1.9
33.93883333,-105.942,4/6/1976 18:09,2.5
36.288,-106.148,4/10/1976 22:39,1.8
36.293,-106.152,4/11/1976 7:44,2
36.286,-106.149,4/11/1976 7:45,1.5
32.26733333,-103.0013333,4/12/1976 8:02,1.6
33.93883333,-105.942,4/16/1976 18:09,2.7
33.91316667,-105.963,4/18/1976 3:48,1.8
34.11,-106.85,4/19/1976 5:03,1.6
34.07,-106.85,4/19/1976 12:35,1.6
32.24566667,-102.8903333,4/21/1976 8:40,2.3
35.704,-105.75,4/24/1976 8:24,1.6
31.97916667,-103.0891667,4/30/1976 19:28,1.6
31.91783333,-103.1095,4/30/1976 19:51,1.6
32.36666667,-103.0598333,5/1/1976 11:13,2.8
36.402,-106.762,5/2/1976 0:32,2.8
32.40833333,-105.6615,5/3/1976 6:52,2.6
32.0255,-103.2043333,5/3/1976 8:00,1.6
32.02766667,-103.0301667,5/3/1976 11:27,1.4
31.86166667,-103.2306667,5/4/1976 15:05,1.7
31.966,-103.1846667,5/6/1976 17:18,2
31.86966667,-103.1611667,5/6/1976 17:28,1.4
34.23,-106.89,5/9/1976 3:54,2.4
32.29116667,-102.9191667,5/11/1976 23:04,2
35.52783333,-109.0926667,5/20/1976 19:43,2.8
32.488,-105.5898333,5/21/1976 13:17,2.2
34.85216667,-104.803,5/24/1976 23:40,2.2
33.55333333,-107.0795,6/8/1976 6:24,1.7
34.5,-106.9666667,6/9/1976 17:37,2.6
31.51533333,-102.4876667,6/14/1976 23:29,1.7
31.55883333,-102.3363333,6/15/1976 2:19,1.9
31.59583333,-102.3665,6/15/1976 8:50,2.8
33.49083333,-109.7245,6/16/1976 22:29,2.8
35.63933333,-103.3855,6/24/1976 15:27,3.3
36.168,-106.207,6/26/1976 12:55,2.1
36.174,-106.239,6/29/1976 1:31,1.6
35.15683333,-107.342,6/30/1976 0:25,2.7
36.157,-106.236,7/5/1976 12:39,2.4
35.497,-104.845,7/6/1976 4:45,1.3
