OID_,Field1,Longitude,Latitude,GeothermGrad,Kriging_Predicted_Gradient
317,316,-106.9533749,32.0394396,57.9271545,55.5563507
318,317,-108.8907393,33.5578903,56.5,53.3588295
319,318,-107.5923069,34.1367827,93.2112885,83.6777725
320,319,-107.3218906,32.8756155,27.3416653,49.9848175
321,320,-106.9488885,34.1250861,106.0052338,107.0142288
322,321,-108.7606248,32.008432,59.7678108,55.0371094
323,322,-107.7489095,33.8800881,77.6416702,78.2288513
324,323,-107.8756028,32.3751262,67.0588531,61.2991638
325,324,-107.5771983,32.9585121,89.6750031,78.3425293
326,325,-107.5867945,32.3467283,61.2075005,70.2427292
327,326,-107.0005792,32.5001269,56.6083336,57.0101585
328,327,-106.6795665,31.9089445,72.6543503,81.1541367
329,328,-107.1281858,32.970914,33.776371,41.4006042
330,329,-106.6085796,34.2448849,43.3166656,52.2205963
331,330,-107.3600942,33.2454058,36.1847076,47.236187
332,331,-106.7505707,32.2668344,235.0084991,236.5397797
333,332,-107.723909,33.9093875,77.1137161,79.1750717
334,333,-107.1492788,31.7922456,44.625,49.9617805
335,334,-106.9505882,34.0667875,129.29039,106.4356461
336,335,-106.7348704,32.284334,260.0587158,238.9802856
337,336,-107.6862989,32.5868214,81.1178055,71.5038605
338,337,-108.3249167,32.5885183,39.3579865,43.7944946
339,338,-106.8107873,34.5175775,35.0011749,36.6031532
340,339,-107.1855915,33.5823982,55.8083344,52.9793968
341,340,-107.2456947,33.7986925,57.6169128,57.9222679
342,341,-108.7796248,31.9396338,49.203331,53.329895
343,342,-108.1775099,32.1892298,48.4026146,47.0257492
344,343,-108.8266281,32.2330254,51.0670319,180.2893829
345,344,-107.9451231,34.9648617,19.3083324,21.097538
346,345,-106.9905752,31.9151429,52.8684883,55.036747
347,346,-106.417263,32.5334287,35.0504494,133.3010406
348,347,-106.7338702,32.2668344,266.5440369,239.1032104
349,348,-108.705834,33.5419916,52.8250008,53.3385849
350,349,-106.7005668,31.8668456,83.4606018,86.8982849
351,350,-106.9379826,33.2883067,36.5790749,39.7640114
352,351,-107.4278905,32.4076274,51.9540367,67.8956604
353,352,-106.8245781,33.0950122,37.7333336,39.928978
354,353,-107.3672923,32.9311139,37.1124077,54.1337547
355,354,-106.9388879,34.0667875,121.82621,113.3981323
356,355,-108.1878111,32.3209262,46.1690559,45.3979073
357,356,-107.3888916,32.7439187,50.5365562,60.5148125
358,357,-107.1414789,31.8428442,44.625,50.1646919
359,358,-108.8336276,32.1336281,319.4773254,328.01297
360,359,-108.0839074,32.20013,45.7166672,48.833046
361,360,-107.0188902,34.0800868,40.3349571,38.3902397
362,361,-108.8416278,32.1275283,306.5994568,323.0195312
363,362,-108.7996253,31.929534,51.7136803,53.2164154
364,363,-108.7916252,31.9522334,48.6609764,53.0490189
365,364,-108.7948255,31.9715328,52.0019608,52.9228172
366,365,-107.9744239,34.9562617,19.3083324,20.8144302
367,366,-109.0006348,32.5001173,98.0400009,60.96101
368,367,-108.8366278,32.1460278,375.7421875,360.756897
369,368,-106.9555807,32.9290158,53.9583321,46.8975639
370,369,-108.8566362,33.2577981,55.7665939,52.994545
371,370,-106.7338703,32.283434,261.9301758,239.1194763
372,371,-107.6623068,33.8350896,74.3307266,80.9003677
