OID_,Latitude,Longitude
527,31.712505030310929,-108.637510206356339
528,31.712505031426470,-108.612510201129069
529,31.712505032541831,-108.587510195899299
530,31.712505033656974,-108.562510190666899
531,31.712505034771937,-108.537510185432026
532,31.712505035886707,-108.512510180194596
533,31.712505037001261,-108.487510174954551
534,31.712505038115626,-108.462510169712019
535,31.712505039229793,-108.437510164466872
536,31.712505040343771,-108.412510159219238
537,31.712505041457543,-108.387510153969046
538,31.712505042571120,-108.362510148716268
539,31.712505043684512,-108.337510143461003
540,31.712505044797673,-108.312510138203123
541,31.712505045910664,-108.287510132942757
542,31.712505047023427,-108.262510127679846
543,31.712505048136027,-108.237510122414349
544,31.712505049248396,-108.212510117146337
545,31.737505016273193,-109.037510291176744
546,31.737505017394145,-109.012510285990288
547,31.737505018514870,-108.987510280801189
548,31.737505019635432,-108.962510275609588
549,31.737505020755783,-108.937510270415359
550,31.737505021875943,-108.912510265218629
551,31.737505022995904,-108.887510260019326
552,31.737505024115681,-108.862510254817380
553,31.737505025235262,-108.837510249612933
554,31.737505026354633,-108.812510244405885
555,31.737505027473826,-108.787510239196308
556,31.737505028592810,-108.762510233984187
557,31.737505029711606,-108.737510228769423
558,31.737505030830210,-108.712510223552172
559,31.737505031948611,-108.687510218332307
560,31.737505033066814,-108.662510213109940
561,31.737505034184821,-108.637510207885001
562,31.737505035302629,-108.612510202657461
563,31.737505036420245,-108.587510197427406
564,31.737505037537662,-108.562510192194750
565,31.737505038654870,-108.537510186959608
566,31.737505039771893,-108.512510181721893
567,31.737505040888720,-108.487510176481592
568,31.737505042005342,-108.462510171238776
569,31.737505043121761,-108.437510165993359
570,31.737505044237995,-108.412510160745455
571,31.737505045354020,-108.387510155495008
572,31.737505046469856,-108.362510150241931
573,31.737505047585479,-108.337510144986396
574,31.737505048700910,-108.312510139728246
575,31.737505049816129,-108.287510134467610
576,31.737505050931169,-108.262510129204429
577,31.737505052046014,-108.237510123938662
578,31.737505053160636,-108.212510118670380
579,31.762505020108563,-109.037510292713620
580,31.762505021231782,-109.012510287526894
581,31.762505022354812,-108.987510282337539
582,31.762505023477623,-108.962510277145668
583,31.762505024600259,-108.937510271951169
584,31.762505025722696,-108.912510266754168
585,31.762505026844927,-108.887510261554596
586,31.762505027966977,-108.862510256352394
587,31.762505029088835,-108.837510251147677
588,31.762505030210477,-108.812510245940359
589,31.762505031331944,-108.787510240730526
590,31.762505032453188,-108.762510235518121
591,31.762505033574257,-108.737510230303101
592,31.762505034695103,-108.712510225085566
593,31.762505035815785,-108.687510219865430
594,31.762505036936247,-108.662510214642793
