Latitude,Longitude,SiGeothermometry,SiGeothermometry_StdErr
33.5578903,-108.8907393,59.0777817,17.8905678
33.5466983,-107.3431957,53.4356804,12.8725519
33.5419916,-108.705834,57.7664108,17.6246223
33.5173999,-107.1646905,54.2370911,10.3644123
33.5167949,-108.1839192,61.9519501,16.9453316
33.4827025,-106.80138,46.6984863,14.6771803
33.4747015,-107.0593872,51.916008,17.6156063
33.4745023,-106.8906825,49.2494392,17.6190395
33.4745009,-107.1733905,52.8629799,14.8553133
33.4732993,-107.5129,53.1374969,19.9542809
33.4564997,-107.5226002,52.8315964,20.249382
33.4449016,-107.1804905,51.4842529,14.1989202
33.4339008,-107.4199971,57.8196983,15.7444935
33.4168036,-106.9172828,47.9222527,19.0310593
33.4168034,-106.9505838,51.5143929,17.8743858
33.4168012,-107.4172969,58.10569,16.8315792
33.4144018,-107.3046938,55.8583641,14.9723883
33.3962007,-107.6274027,47.0817719,32.2528648
33.3958021,-107.3489949,58.7540131,17.2056313
33.3717945,-108.9898407,69.2120514,18.4674206
33.3290034,-107.4293967,53.9854622,23.6099758
33.3201022,-107.7070044,51.4576645,38.383316
33.3168024,-107.7006042,51.3340874,38.8791389
33.2948971,-108.8611366,79.4540939,15.4406118
33.2883067,-106.9379826,48.2554131,20.971817
33.2834053,-107.2672918,46.9747772,21.3379498
33.2834052,-107.2838923,47.3545227,21.8686981
33.2834031,-107.7173045,53.5896072,43.5153122
33.2737063,-107.1077873,47.5847168,17.9157505
33.2577981,-108.8566362,83.9215698,13.0894852
33.2501079,-106.9005812,46.6325264,20.4410133
33.2454058,-107.3600942,49.0967865,13.8160295
33.242205,-107.5467994,55.0142441,31.4857807
33.2389088,-106.7591772,44.9950638,18.7866077
33.2142058,-107.5319988,55.0732498,34.3230209
33.2001075,-107.2505908,52.1076965,14.0461845
33.1909999,-108.8399352,81.8837585,14.5220461
33.1834096,-106.8838803,46.0952187,20.1496258
33.1796099,-106.8571796,45.5659103,20.3496399
33.1789992,-109.0424408,73.2541351,17.4101009
33.1748018,-108.5515271,58.6251945,16.8648109
33.1743074,-107.4090951,49.7137184,33.4337845
33.1485017,-108.7063312,72.2447205,15.7745123
33.1327008,-108.9514379,76.1188354,14.4302807
33.1319019,-108.7525324,79.942688,13.8404818
33.1305017,-108.7833332,84.8350983,12.0579472
33.1300079,-107.5426985,64.3084106,11.94174
33.12821,-107.1077863,46.456646,17.3382206
33.1215091,-107.3321926,49.2298775,15.636652
33.1063107,-107.0705851,47.9547729,17.8023453
33.1001118,-106.8838798,44.7892647,20.0999699
33.0950122,-106.8245781,43.6436539,21.2818165
33.0853063,-108.105814,70.6596298,20.4067097
33.0834118,-106.967282,47.6930542,17.3763447
33.0777039,-108.6278285,59.4815521,15.4696684
33.0574108,-107.327692,57.4624214,13.2334709
33.0533108,-107.3378923,56.186161,17.0239239
33.0501052,-108.5006248,61.429657,15.8002119
33.0268094,-107.7828046,65.2732391,43.4704552
33.0247092,-107.8233057,64.6158066,41.5003395
33.0239081,-108.0555122,67.9082794,17.2897625
33.0001138,-107.0005824,35.0012283,16.5727463
33.000112,-107.375593,45.678257,23.8898697
32.9976126,-107.27259,55.7934914,29.9884853
32.983414,-107.0505837,39.8410378,18.7384605
32.9726136,-107.1923876,42.0713501,40.1060791
32.970914,-107.1281858,42.2739067,42.2214737
32.9668142,-107.100585,41.3960152,38.2741203
32.9668121,-107.5338972,81.0265121,15.7675753
32.9585121,-107.5771983,123.490181,10.7772703
32.9518123,-107.5817984,122.0311279,9.4105101
32.9450124,-107.603699,99.3085632,13.7496758
32.9429128,-107.5163965,66.671875,20.3737812
32.9422126,-107.5731981,101.4019775,11.0603981
32.9372127,-107.571898,91.0663376,11.1665564
32.9311139,-107.3672923,57.1133614,20.0279636
32.931013,-107.5566976,75.6633224,11.1786346
32.9293128,-107.5917985,75.4677582,10.6795263
32.9290158,-106.9555807,61.1336098,21.8236866
32.9164132,-107.5953986,58.8093719,13.281846
32.9163146,-107.28899,47.0420074,37.5219383
32.916308,-108.648728,65.9386673,14.6628637
32.900117,-106.867278,51.3280296,23.0453854
32.9001065,-109.0339385,69.7278442,16.9062595
32.8905174,-106.8436773,48.1190605,23.2795582
32.8834157,-107.2505887,41.1343536,55.4364471
32.8756155,-107.3218906,48.8956451,8.9969759
32.8730167,-107.0892841,43.3800659,58.4339714
32.8689164,-107.1762865,47.140831,66.2774811
32.8501115,-108.3006178,31.7159386,17.8488941
32.8434418,-108.9306353,73.0375519,14.6286774
32.8128172,-107.3082898,40.0129509,13.9764442
32.8001196,-106.8672774,44.8339996,25.0827541
32.8001195,-106.9005783,41.4963608,25.6319904
32.8001139,-108.067311,35.6864281,16.6953354
32.7928202,-106.7867751,46.234993,25.2245102
32.7886109,-108.7318294,62.2087746,15.7434378
32.7781174,-107.4563937,52.0851669,60.1235237
32.7635193,-107.1436849,36.6242714,26.2921925
32.7532199,-107.0644826,49.1229706,26.5284328
32.7501191,-107.2505878,34.1499596,23.2395287
32.7501119,-108.7506296,61.6155243,16.1708126
